Profundidad	RC1	RC2	RC3	RC4
5660	0.77792425	0.814029063	0.67569817	0.757841697
5660.5	0.796239499	0.81316698	0.748669946	0.793871855
5661	0.769230786	0.797562036	0.702285088	0.748362073
5661.5	0.76477436	0.790365252	0.680288728	0.738451206
5662	0.773812818	0.788184093	0.700248127	0.718461836
5662.5	0.79562719	0.798850051	0.753472127	0.777537338
5663	0.802155394	0.837717345	0.785440951	0.807956871
5663.5	0.797878424	0.833851101	0.756846932	0.779641454
5664	0.777205898	0.813116563	0.718712688	0.761454166
5664.5	0.788603618	0.820041076	0.729582106	0.765600467
5665	0.776924464	0.815917152	0.737349992	0.788688434
5665.5	0.769003107	0.797940103	0.724735975	0.77967479
5666	0.755304855	0.815149612	0.679188716	0.762972062
5666.5	0.746095141	0.804713375	0.659601546	0.754689606
5667	0.757050217	0.793180086	0.651374422	0.748380495
5667.5	0.744186533	0.786476424	0.612430409	0.688062009
5668.5	0.747082884	0.798745154	0.67451277	0.714754056
5669	0.752375159	0.785494259	0.711417508	0.753765523
5669.5	0.733356147	0.779964398	0.68322586	0.727931118
5670	0.713796293	0.769321754	0.600746664	0.682140368
5670.5	0.730674979	0.790873661	0.620547144	0.7005359
5671	0.723575354	0.776078829	0.654705105	0.710247077
5671.5	0.705103954	0.748150638	0.646051509	0.704211497
5672	0.695763866	0.755593147	0.647573121	0.68805268
5672.5	0.690899509	0.741152701	0.62209331	0.662947213
5673	0.719353659	0.74742621	0.646605718	0.649385422
5673.5	0.690588854	0.724560356	0.638600782	0.662851986
5674	0.69898016	0.748176406	0.648402017	0.659770672
5674.5	0.713517025	0.769434353	0.665381404	0.693296243
5675	0.691381511	0.745326756	0.56240113	0.562901925
5675.5	0.710585775	0.757744693	0.626524849	0.662724113
5676	0.713260681	0.76423489	0.662805103	0.697685688
5676.5	0.7067804	0.75065217	0.67476266	0.708426768
5677	0.716311086	0.734232289	0.650890033	0.676663923
5677.5	0.712585953	0.747234129	0.613714679	0.666384845
5678	0.718184475	0.761319782	0.568503601	0.644621646
5679.5	0.712517901	0.696722303	0.59848083	0.67388913
5680	0.730503321	0.699669844	0.59313199	0.670353733
